d3mIndex,FICE,College_name,State,Type,Average_salary-full_professors,Average_salary-associate_professors,Average_salary-assistant_professors,Average_salary-all_ranks,Average_compensation-full_professors,Average_compensation-associate_professors,Average_compensation-assistant_professors,Average_compensation-all_ranks,Number_of_full_professors,Number_of_associate_professors,Number_of_assistant_professors,Number_of_instructors,Number_of_faculty-all_ranks
460,2268,Grand_Valley_State_Univ,MI,IIB,568.0,479.0,387.0,467,726.0,619.0,508.0,604,91,105,118,7,321
461,2273,Hope_College,MI,IIB,515.0,420.0,350.0,443,681.0,559.0,455.0,585,70,49,38,2,159
462,2275,Kalamazoo_College,MI,IIB,553.0,440.0,352.0,452,696.0,569.0,440.0,571,36,25,24,7,92
463,2282,Madonna_University,MI,IIB,482.0,395.0,352.0,382,576.0,465.0,430.0,459,19,12,42,11,84
464,2284,Marygrove_College,MI,IIB,433.0,365.0,290.0,348,534.0,450.0,358.0,429,7,26,13,3,49
465,2290,Michigan_State_University,MI,I,651.0,493.0,413.0,555,843.0,663.0,569.0,732,949,494,350,47,1840
466,2292,Michigan_Technological_Univ,MI,IIA,668.0,482.0,420.0,511,854.0,638.0,563.0,671,99,124,95,11,338
467,2293,Lake_Superior_State_Univ,MI,IIB,510.0,446.0,357.0,422,661.0,596.0,473.0,557,32,35,38,7,112
468,2301,Northern_Michigan_University,MI,IIA,571.0,459.0,347.0,467,749.0,609.0,468.0,619,149,72,61,21,329
469,2307,Oakland_University,MI,IIA,633.0,518.0,432.0,534,831.0,690.0,582.0,710,123,142,85,8,358
470,2308,Olivet_College,MI,IIB,400.0,,306.0,329,487.0,,357.0,390,13,4,23,2,44
471,2314,Saginaw_Valley_State_Univ,MI,IIA,499.0,448.0,364.0,446,642.0,586.0,482.0,580,91,40,29,6,174
472,2316,Siena_Heights_College,MI,IIB,,342.0,300.0,325,,443.0,383.0,418,2,31,23,1,57
473,2318,Spring_Arbor_College,MI,IIB,368.0,321.0,284.0,320,455.0,398.0,370.0,400,22,15,19,6,62
474,2326,Univof_Michigan-Dearborn,MI,IIA,552.0,452.0,408.0,451,701.0,583.0,531.0,582,70,66,51,0,219
475,2327,Univof_Michigan-Flint,MI,IIA,566.0,460.0,409.0,437,708.0,582.0,522.0,555,43,46,57,1,184
476,2329,Wayne_State_University,MI,I,683.0,525.0,447.0,535,846.0,664.0,560.0,669,317,267,216,8,925
477,2330,Western_Michigan_University,MI,I,603.0,489.0,396.0,502,755.0,620.0,505.0,633,285,233,189,24,731
478,4673,Baker_College_of_Flint,MI,IIB,,,370.0,385,,,481.0,496,5,4,25,2,36
479,6771,Center_for_Creative_Studies,MI,IIB,401.0,333.0,263.0,360,489.0,413.0,331.0,442,29,11,6,2,48
480,9092,Univof_Michigan-Ann_Arbor,MI,I,777.0,577.0,460.0,605,955.0,731.0,595.0,760,850,419,472,9,1968
481,2334,Augsburg_College,MN,IIB,432.0,356.0,314.0,357,559.0,449.0,387.0,450,35,29,58,1,123
482,2336,Bemidji_State_University,MN,IIA,490.0,403.0,341.0,419,629.0,520.0,443.0,539,91,40,50,11,192
483,2340,Carleton_College,MN,IIB,638.0,486.0,394.0,521,807.0,604.0,505.0,659,68,36,45,4,155
484,2341,College_of_Saint_Benedict,MN,IIB,493.0,404.0,334.0,381,595.0,512.0,405.0,468,18,50,47,8,125
485,2342,College_of_St_Catherine,MN,IIB,428.0,369.0,326.0,356,515.0,448.0,385.0,427,27,53,54,9,143
486,2343,College_of_St_Scholastica,MN,IIB,461.0,374.0,327.0,345,568.0,466.0,421.0,436,14,31,50,18,119
487,2345,University_of_St_Thomas,MN,IIA,563.0,429.0,366.0,402,702.0,538.0,465.0,508,31,104,146,29,310
488,2346,Concordia_College-Moorhead,MN,IIB,527.0,419.0,356.0,413,638.0,503.0,426.0,496,47,38,60,21,166
489,2347,Concordia_College-St_Paul,MN,IIB,407.0,363.0,319.0,353,493.0,443.0,394.0,433,14,12,23,1,50
490,2353,Gustavus_Adolphus_College,MN,IIB,486.0,402.0,338.0,408,625.0,507.0,423.0,518,59,47,44,12,162
491,2354,Hamline_University,MN,IIA,556.0,451.0,342.0,461,706.0,575.0,424.0,583,58,29,27,8,128
492,2358,Macalester_College,MN,IIB,639.0,492.0,406.0,514,807.0,622.0,500.0,645,46,32,36,7,121
493,2360,Mankato_State_University,MN,IIA,523.0,441.0,371.0,453,662.0,567.0,482.0,580,210,138,125,16,489
494,2367,Moorhead_State_University,MN,IIA,512.0,421.0,353.0,419,651.0,544.0,461.0,540,131,65,120,29,345
495,2371,Northwestern_College,MN,IIB,373.0,339.0,313.0,333,510.0,454.0,406.0,441,13,16,27,1,57
496,2375,Southwest_State_University,MN,IIB,525.0,417.0,355.0,459,686.0,551.0,466.0,602,57,40,19,1,117
497,2377,St_Cloud_State_University,MN,IIA,518.0,417.0,354.0,441,662.0,546.0,464.0,570,259,143,146,25,573
498,2379,St_Johns_University,MN,IIB,512.0,412.0,353.0,418,672.0,523.0,435.0,532,37,44,38,6,126
499,2380,Saint_Marys_Coll_of_Minn,MN,IIA,488.0,396.0,295.0,389,595.0,483.0,358.0,473,28,23,27,3,81
500,2382,St_Olaf_College,MN,IIB,551.0,417.0,355.0,446,673.0,509.0,430.0,543,82,93,49,11,235
501,2388,Univ_Minnesota-Duluth,MN,IIA,551.0,446.0,386.0,458,719.0,591.0,520.0,606,90,112,72,11,285
502,2389,Univ_Minnesota-Morris,MN,IIB,533.0,399.0,334.0,389,697.0,534.0,457.0,522,27,23,45,17,112
503,2394,Winona_State_University,MN,IIB,515.0,420.0,358.0,430,652.0,537.0,454.0,547,118,73,85,17,293
504,3969,Univ_Minnesota-Twin_Cities,MN,I,662.0,468.0,418.0,557,842.0,613.0,552.0,719,785,468,271,12,1538
505,9058,Bethel_College,MN,IIB,430.0,356.0,313.0,375,597.0,464.0,404.0,503,43,48,12,7,110
506,2449,Avila_College,MO,IIB,379.0,340.0,295.0,317,459.0,404.0,349.0,377,10,13,17,12,52
507,2453,Central_Methodist_College,MO,IIB,402.0,336.0,252.0,310,478.0,403.0,308.0,374,11,20,22,3,56
508,2454,Central_Missouri_State_Univ,MO,IIA,517.0,440.0,379.0,429,630.0,538.0,467.0,526,158,103,135,53,451
509,2456,Columbia_College,MO,IIB,362.0,307.0,273.0,299,437.0,375.0,336.0,364,10,11,22,3,46
510,2460,Culver-Stockton_College,MO,IIB,396.0,348.0,297.0,332,463.0,406.0,347.0,388,9,20,22,1,52
511,2461,Drury_College,MO,IIB,448.0,394.0,323.0,375,546.0,483.0,400.0,460,26,23,31,2,87
512,2466,Harris-Stowe_State_College,MO,IIB,350.0,298.0,302.0,304,431.0,370.0,374.0,377,12,6,8,14,40
513,2473,Kansas_City_Art_Institute,MO,IIB,440.0,,299.0,373,535.0,,357.0,450,26,1,13,7,47
514,2479,Lincoln_University,MO,IIA,414.0,335.0,282.0,308,506.0,413.0,350.0,381,22,22,45,30,119
515,2480,Lindenwood_College,MO,IIA,416.0,367.0,306.0,340,477.0,422.0,354.0,392,15,27,55,0,97
516,2482,Maryville_Univ_of_StLouis,MO,IIA,449.0,355.0,310.0,359,548.0,434.0,378.0,442,26,13,27,12,78
517,2488,Missouri_Southern_State_Coll,MO,IIB,489.0,406.0,349.0,389,592.0,496.0,430.0,476,42,50,67,28,187
518,2489,Missouri_Valley_College,MO,IIB,,318.0,285.0,302,,379.0,334.0,357,4,18,22,3,47
519,2490,Missouri_Western_State_Coll,MO,IIB,473.0,393.0,334.0,385,580.0,483.0,414.0,474,44,44,64,9,161
520,2495,Northeast_Missouri_St_Univ,MO,IIA,505.0,411.0,342.0,385,615.0,502.0,422.0,473,54,103,142,27,328
521,2496,Northwest_Missouri_St_Univ,MO,IIA,526.0,404.0,348.0,379,634.0,490.0,425.0,461,48,49,85,36,231
522,2498,Park_College,MO,IIB,341.0,320.0,283.0,299,407.0,388.0,336.0,356,10,8,24,3,45
523,2499,Rockhurst_College,MO,IIB,448.0,380.0,350.0,369,548.0,460.0,422.0,448,15,31,33,9,88
524,2500,College_of_The_Ozarks,MO,IIB,446.0,392.0,350.0,393,547.0,483.0,425.0,482,27,25,23,4,79
525,2501,Southeast_Missouri_St_Univ,MO,IIA,505.0,432.0,359.0,416,612.0,527.0,441.0,508,113,99,106,45,363
526,2503,Southwest_Missouri_St_Univ,MO,IIA,516.0,422.0,364.0,417,617.0,510.0,441.0,502,247,151,180,43,671
527,2506,Saint_Louis_Univ-Main,MO,I,657.0,475.0,402.0,500,783.0,575.0,484.0,600,133,111,120,31,395
528,2512,Stephens_College,MO,IIB,,,,282,,,,364,0,0,0,0,62
529,2516,Univof_Missouri-Columbia,MO,I,603.0,456.0,407.0,485,729.0,560.0,499.0,592,336,256,244,63,899
530,2517,Univof_Missouri-Rolla,MO,I,663.0,508.0,454.0,564,802.0,626.0,557.0,686,114,79,56,4,253
531,2518,Univof_Missouri-Kansas_City,MO,I,580.0,445.0,381.0,473,702.0,545.0,467.0,577,151,167,107,9,434
532,2519,Univof_Missouri-St_Louis,MO,I,576.0,460.0,412.0,476,699.0,561.0,503.0,579,86,103,110,5,304
533,2520,Washington_University,MO,I,782.0,534.0,451.0,601,952.0,652.0,540.0,730,264,136,175,18,620
534,2521,Webster_University,MO,IIA,505.0,435.0,325.0,395,623.0,542.0,414.0,495,28,29,55,0,115
535,2523,Westminster_College,MO,IIB,451.0,390.0,298.0,381,549.0,481.0,361.0,465,17,17,12,4,50
536,2524,William_Jewell_College,MO,IIB,422.0,342.0,306.0,364,529.0,458.0,391.0,463,42,12,31,3,88
537,2525,William_Woods_University,MO,IIB,370.0,303.0,290.0,312,476.0,374.0,350.0,390,13,13,13,5,45
538,7540,Missouri_Baptist_College,MO,IIB,,294.0,281.0,265,,389.0,360.0,344,1,7,10,11,29
539,9089,Hannibal-LaGrange_College,MO,IIB,,284.0,248.0,258,,366.0,308.0,324,4,8,21,5,38
540,2396,Alcorn_State_University,MS,IIB,419.0,371.0,326.0,320,534.0,473.0,414.0,406,25,35,35,73,168
541,2397,Belhaven_College,MS,IIB,364.0,304.0,298.0,314,423.0,355.0,348.0,366,9,8,15,2,34
542,2398,Blue_Mountain_College,MS,IIB,284.0,259.0,,263,347.0,315.0,,322,6,12,5,2,25
543,2403,Delta_State_University,MS,IIA,400.0,337.0,314.0,337,487.0,413.0,386.0,413,60,32,47,36,175
544,2410,Jackson_State_University,MS,IIA,425.0,391.0,337.0,362,511.0,471.0,407.0,436,81,79,114,54,328
545,2414,Millsaps_College,MS,IIB,498.0,376.0,322.0,387,615.0,478.0,381.0,475,25,27,29,4,85
546,2422,Mississippi_Univ_for_Women,MS,IIA,400.0,,306.0,324,492.0,,379.0,400,33,5,44,30,112
547,2423,Mississippi_State_University,MS,I,540.0,432.0,389.0,455,649.0,521.0,471.0,548,278,191,155,40,669
548,2424,Mississippi_Valley_St_Univ,MS,IIB,359.0,331.0,287.0,297,456.0,423.0,370.0,382,25,17,38,26,106
549,2433,Rust_College,MS,IIB,341.0,280.0,302.0,285,382.0,313.0,337.0,318,11,8,24,18,61
550,2439,Tougaloo_College,MS,IIB,300.0,267.0,244.0,262,370.0,327.0,289.0,318,17,22,18,9,66
551,2440,University_of_Mississippi,MS,I,558.0,428.0,384.0,440,676.0,524.0,471.0,537,138,111,158,29,439
552,2441,Univof_Southern_Mississippi,MS,I,562.0,438.0,352.0,438,664.0,520.0,420.0,520,183,162,160,58,563
553,2526,Carroll_College,MT,IIB,394.0,343.0,285.0,326,478.0,413.0,344.0,394,12,23,29,0,64
554,2527,College_of_Great_Falls,MT,IIB,361.0,305.0,258.0,299,459.0,367.0,312.0,364,10,19,7,7,43
555,2530,Eastern_Montana_College,MT,IIA,409.0,358.0,292.0,348,500.0,440.0,364.0,430,47,41,48,5,141
556,2531,Montana_CollMinSci_and__Tech,MT,IIA,481.0,395.0,336.0,420,583.0,484.0,416.0,512,45,17,18,6,86
557,2532,Montana_State_University,MT,I,497.0,397.0,346.0,407,602.0,487.0,427.0,498,154,146,144,24,468
558,2533,Northern_Montana_College,MT,IIA,403.0,342.0,309.0,332,493.0,425.0,384.0,411,15,19,41,3,79
559,2536,University_of_Montana,MT,I,446.0,365.0,323.0,392,537.0,442.0,395.0,474,200,79,95,16,390
560,2537,Western_Montana_Collof_UM,MT,IIA,388.0,330.0,289.0,313,473.0,407.0,359.0,386,8,12,22,4,46
561,2905,North_Carolina_A_and_T_St_Univ,NC,IIA,524.0,448.0,409.0,432,637.0,547.0,496.0,526,68,106,116,15,361
562,2906,Appalachian_State_University,NC,IIA,491.0,413.0,366.0,424,598.0,505.0,448.0,518,249,117,113,19,545
563,2907,Univ_of_NC_at_Asheville,NC,IIB,533.0,436.0,350.0,417,647.0,532.0,430.0,510,40,41,37,4,147
564,2908,Barton_College,NC,IIB,348.0,312.0,299.0,311,411.0,372.0,349.0,365,18,25,37,3,84
565,2909,Barber-Scotia_College,NC,IIB,352.0,312.0,287.0,297,412.0,360.0,335.0,347,13,12,14,13,52
566,2910,Belmont_Abbey_College,NC,IIB,348.0,316.0,281.0,309,434.0,392.0,350.0,384,8,21,17,0,46
567,2911,Bennett_College,NC,IIB,351.0,377.0,300.0,323,418.0,437.0,346.0,375,9,16,16,11,52
568,2914,Catawba_College,NC,IIB,395.0,326.0,288.0,342,490.0,394.0,345.0,418,30,12,23,1,66
569,2918,Davidson_College,NC,IIB,626.0,460.0,356.0,506,801.0,591.0,440.0,644,60,34,32,4,130
570,2920,Duke_University,NC,I,854.0,584.0,459.0,699,1055.0,728.0,553.0,862,330,149,141,0,620
571,2923,East_Carolina_University,NC,IIA,554.0,430.0,377.0,415,672.0,525.0,462.0,507,189,187,261,11,792
572,2926,Elizabeth_City_State_Univ,NC,IIB,472.0,415.0,338.0,398,580.0,510.0,420.0,489,32,32,16,3,105
573,2927,Elon_College,NC,IIB,459.0,388.0,331.0,372,572.0,482.0,401.0,456,30,38,64,6,138
574,2928,Fayetteville_State_Univ,NC,IIA,525.0,437.0,375.0,407,640.0,536.0,460.0,499,27,72,50,4,193
575,2929,Gardner-Webb_University,NC,IIB,348.0,305.0,294.0,312,414.0,357.0,349.0,371,39,7,26,15,87
576,2930,Greensboro_College,NC,IIB,377.0,331.0,309.0,333,456.0,400.0,367.0,404,11,21,10,2,44
577,2931,Guilford_College,NC,IIB,492.0,414.0,338.0,410,615.0,505.0,407.0,503,32,22,29,5,90
578,2933,High_Point_University,NC,IIB,475.0,397.0,330.0,349,591.0,496.0,407.0,435,14,25,35,9,94
579,2936,Johnson_C_Smith_University,NC,IIB,408.0,357.0,303.0,327,485.0,427.0,367.0,394,11,27,34,12,84
580,2941,Lenoir-Rhyne_College,NC,IIB,377.0,323.0,295.0,345,462.0,410.0,357.0,426,47,26,17,1,91
581,2942,Livingstone_College,NC,IIB,,257.0,263.0,259,,292.0,298.0,294,5,12,22,14,53
582,2944,Mars_Hill_College,NC,IIB,356.0,308.0,259.0,309,426.0,378.0,309.0,372,35,16,18,11,80
583,2945,Meredith_College,NC,IIB,440.0,373.0,328.0,366,517.0,442.0,387.0,431,26,30,31,16,103
584,2946,Methodist_College,NC,IIB,348.0,309.0,295.0,316,416.0,371.0,353.0,379,21,21,19,1,62
585,2948,Montreat-Anderson_College,NC,IIB,,304.0,274.0,299,,393.0,355.0,393,4,12,8,0,24
586,2950,North_Carolina_Central_Univ,NC,IIA,551.0,447.0,373.0,423,670.0,547.0,460.0,518,56,84,70,9,263
587,2951,North_Carolina_Wesleyan_Coll,NC,IIB,384.0,317.0,299.0,320,478.0,385.0,360.0,389,10,13,20,2,45
588,2954,Pembroke_State_University,NC,IIA,538.0,403.0,341.0,413,655.0,495.0,421.0,505,49,32,31,2,143
589,2955,Pfeiffer_College,NC,IIB,395.0,322.0,269.0,337,471.0,381.0,321.0,401,23,9,15,2,49
590,2957,Queens_College,NC,IIB,427.0,360.0,319.0,350,511.0,437.0,384.0,422,14,21,20,8,63
591,2960,Salem_College,NC,IIB,378.0,349.0,283.0,324,466.0,451.0,349.0,407,9,15,17,3,44
592,2962,Shaw_University,NC,IIB,,321.0,293.0,292,,383.0,348.0,345,5,19,43,25,92
593,2972,North_Carolina_State_Univ,NC,I,665.0,475.0,417.0,505,797.0,578.0,508.0,610,463,345,200,12,1235
594,2974,Univ_of_NC_at_Chapel_Hill,NC,I,701.0,512.0,410.0,565,837.0,620.0,498.0,678,572,329,212,18,1268
595,2975,Univ_of_NC_at_Charlotte,NC,IIA,568.0,448.0,385.0,441,686.0,546.0,470.0,536,173,189,197,0,643
596,2976,Univ_of_NC_at_Greensboro,NC,I,610.0,443.0,377.0,435,735.0,540.0,461.0,529,140,178,135,8,572
597,2978,Wake_Forest_University,NC,IIA,685.0,526.0,433.0,557,837.0,641.0,508.0,674,135,86,74,18,323
598,2979,Warren_Wilson_College,NC,IIB,,,,283,,,,352,0,0,0,0,42
599,2981,Western_Carolina_University,NC,IIA,515.0,439.0,364.0,414,627.0,537.0,448.0,506,71,106,93,1,319
600,2984,Univ_of_NC_at_Wilmington,NC,IIA,533.0,419.0,366.0,421,648.0,511.0,449.0,514,94,105,108,1,346
601,2985,Wingate_College,NC,IIB,380.0,308.0,301.0,320,469.0,385.0,366.0,394,23,25,24,7,79
602,2986,Winston-Salem_State_Univ,NC,IIB,480.0,421.0,365.0,407,587.0,516.0,451.0,500,39,48,30,6,149
603,2989,Dickinson_State_University,ND,IIB,402.0,342.0,302.0,316,506.0,432.0,376.0,397,9,14,33,13,71
604,2993,Mayville_State_University,ND,IIB,415.0,,313.0,340,519.0,,399.0,429,9,4,21,3,37
605,2994,Minot_State_University,ND,IIA,457.0,383.0,331.0,347,563.0,477.0,416.0,436,34,41,68,16,188
606,3005,Univ_of_North_Dakota-Main,ND,I,460.0,391.0,345.0,379,572.0,489.0,431.0,473,130,124,163,27,472
607,3008,Valley_City_State_University,ND,IIB,403.0,368.0,313.0,340,501.0,462.0,383.0,425,12,14,16,6,54
608,9265,North_Dakota_State_Univ,ND,IIA,473.0,391.0,353.0,398,545.0,458.0,420.0,467,130,125,149,6,423
609,2539,Chadron_State_College,NE,IIA,491.0,404.0,329.0,390,593.0,500.0,406.0,476,33,20,19,19,91
610,2540,College_of_Saint_Mary,NE,IIB,,321.0,293.0,300,,395.0,347.0,362,5,13,19,6,43
611,2541,Concordia_Teachers_College,NE,IIB,352.0,316.0,282.0,320,423.0,390.0,357.0,393,22,16,15,1,54
612,2542,Creighton_University,NE,IIA,649.0,462.0,351.0,437,793.0,562.0,418.0,529,66,119,127,22,342
613,2543,Dana_College,NE,IIB,338.0,300.0,276.0,300,404.0,368.0,336.0,364,11,11,11,3,36
614,2544,Doane_College,NE,IIB,436.0,392.0,326.0,360,521.0,465.0,391.0,431,17,7,28,5,57
615,2548,Hastings_College,NE,IIB,426.0,359.0,305.0,353,516.0,434.0,369.0,426,19,19,24,4,66
616,2551,Univ_of_Nebraska_at_Kearney,NE,IIA,509.0,433.0,365.0,409,618.0,533.0,448.0,502,81,89,92,9,309
617,2553,Midland_Lutheran_College,NE,IIB,372.0,,278.0,301,449.0,,346.0,371,14,4,25,9,52
618,2554,Univof_Nebraska_at_Omaha,NE,IIA,528.0,446.0,417.0,452,635.0,540.0,507.0,547,149,115,97,36,403
619,2555,Nebraska_Wesleyan_University,NE,IIB,454.0,381.0,327.0,396,548.0,468.0,400.0,481,37,23,25,2,87
620,2559,Peru_State_College,NE,IIB,483.0,402.0,308.0,367,584.0,493.0,385.0,452,14,8,19,9,50
621,2563,Union_College,NE,IIB,290.0,293.0,272.0,288,358.0,359.0,334.0,354,18,14,7,1,40
622,2565,Univof_Nebraska-Lincoln,NE,I,661.0,477.0,410.0,523,792.0,584.0,505.0,635,436,344,316,31,1127
623,2566,Wayne_State_College,NE,IIA,481.0,411.0,324.0,394,585.0,501.0,399.0,482,46,25,41,13,125
624,9743,Bellevue_College,NE,IIB,379.0,340.0,289.0,317,449.0,404.0,346.0,378,6,12,23,0,41
625,9862,Clarkson_College,NE,IIB,,407.0,377.0,368,,469.0,434.0,425,1,6,8,11,26
626,2572,Colby-Sawyer_College,NH,IIB,397.0,380.0,277.0,329,488.0,468.0,349.0,410,9,9,19,1,38
627,2573,Dartmouth_College,NH,I,785.0,536.0,429.0,610,1002.0,686.0,532.0,774,163,89,114,5,371
628,2575,Franklin_Pierce_College,NH,IIB,470.0,382.0,323.0,399,605.0,487.0,412.0,510,28,29,17,2,76
629,2579,New_England_College,NH,IIB,423.0,329.0,251.0,327,551.0,437.0,313.0,423,20,20,23,2,65
630,2580,New_Hampshire_College,NH,IIA,567.0,425.0,356.0,459,728.0,558.0,464.0,597,31,32,15,5,83
631,2584,Notre_Dame_College,NH,IIB,335.0,299.0,261.0,286,393.0,383.0,312.0,349,6,11,13,4,34
632,2586,Rivier_College,NH,IIA,449.0,363.0,331.0,365,541.0,419.0,392.0,429,12,29,18,7,66
633,2587,Saint_Anselm_College,NH,IIB,512.0,403.0,338.0,381,633.0,508.0,435.0,483,16,35,51,7,109
634,2589,University_of_New_Hampshire,NH,I,587.0,454.0,375.0,482,729.0,575.0,483.0,607,196,253,127,0,576
635,2590,Keene_State_College,NH,IIB,494.0,417.0,337.0,426,622.0,532.0,439.0,542,61,46,40,2,149
636,2591,Plymouth_State_College,NH,IIB,518.0,405.0,354.0,431,650.0,518.0,458.0,548,59,55,38,6,158
637,2597,Bloomfield_College,NJ,IIB,476.0,434.0,354.0,406,602.0,547.0,443.0,510,12,13,17,4,46
638,2599,Centenary_College,NJ,IIB,,305.0,252.0,266,,371.0,310.0,326,1,10,16,9,36
639,2600,College_of_Saint_Elizabeth,NJ,IIB,426.0,388.0,322.0,365,490.0,437.0,384.0,420,9,19,16,3,47
640,2603,Drew_University,NJ,IIA,603.0,463.0,386.0,529,762.0,580.0,479.0,664,61,28,15,4,108
641,2608,Georgian_Court_College,NJ,IIB,490.0,425.0,373.0,403,592.0,509.0,450.0,487,19,13,30,8,71
642,2610,Felician_College,NJ,IIB,,351.0,311.0,320,,422.0,375.0,385,1,14,24,5,44
643,2613,Jersey_City_State_College,NJ,IIB,649.0,525.0,405.0,520,840.0,697.0,558.0,692,80,66,90,1,237
644,2616,Monmouth_College,NJ,IIA,616.0,509.0,408.0,519,783.0,668.0,523.0,669,41,55,29,1,126
645,2617,Montclair_State_College,NJ,IIA,647.0,521.0,417.0,532,802.0,661.0,541.0,672,155,130,125,9,419
646,2621,New_Jersey_Inst_of_Tech,NJ,IIA,771.0,606.0,501.0,615,976.0,790.0,670.0,799,104,98,71,0,303
647,2622,Kean_College_of_New_Jersey,NJ,IIA,640.0,516.0,423.0,525,833.0,691.0,582.0,700,115,107,115,3,340
648,2625,William_Paterson_College,NJ,IIB,653.0,519.0,409.0,535,859.0,687.0,541.0,707,120,97,88,7,312
649,2627,Princeton_University,NJ,I,963.0,564.0,437.0,749,1154.0,686.0,534.0,901,402,66,179,16,702
650,2628,Rider_College,NJ,IIA,636.0,552.0,511.0,564,764.0,668.0,604.0,677,59,103,41,1,208
651,2631,Rutgers_State_Univ-Newark,NJ,IIA,893.0,640.0,526.0,693,1097.0,812.0,682.0,871,141,125,73,16,374
652,2632,Seton_Hall_University,NJ,IIA,736.0,557.0,414.0,553,894.0,683.0,507.0,675,98,110,101,13,332
653,2638,Saint_Peters_College,NJ,IIB,477.0,391.0,317.0,404,600.0,498.0,412.0,514,46,42,21,5,117
654,2639,Stevens_Institute_of_Tech,NJ,IIA,647.0,494.0,415.0,544,807.0,634.0,525.0,685,66,37,30,4,137
655,2642,Trenton_State_College,NJ,IIB,644.0,524.0,422.0,525,845.0,691.0,557.0,690,108,81,123,1,313
656,4741,Rutgers_State_Univ-Camden,NJ,IIA,860.0,633.0,510.0,648,1060.0,805.0,664.0,820,61,73,61,6,206
657,6964,Rutgers_State_Univ-NBrswck,NJ,I,846.0,611.0,478.0,665,1045.0,780.0,624.0,838,601,393,258,90,1374
658,8770,Fairleigh_Dickinson_Univ,NJ,IIA,530.0,440.0,404.0,459,692.0,579.0,517.0,597,147,63,54,8,303
659,9344,Ramapo_College_of_New_Jersey,NJ,IIB,645.0,527.0,407.0,532,835.0,701.0,563.0,706,49,40,41,1,131
660,9345,Stockton_State_College,NJ,IIB,656.0,496.0,393.0,492,790.0,607.0,490.0,603,47,58,65,8,178
661,2093,Saint_Johns_College,NM,IIB,,,,442,,,,587,0,0,0,0,53
662,2651,Eastern_New_Mexico_Univ,NM,IIA,497.0,377.0,321.0,360,605.0,466.0,399.0,446,21,42,63,11,144
663,2653,New_Mexico_Highlands_Univ,NM,IIA,435.0,362.0,305.0,349,541.0,454.0,386.0,439,26,32,59,0,117
664,2654,New_Mexico_Inst_Min_and_Tech,NM,I,538.0,421.0,405.0,448,648.0,512.0,494.0,544,39,32,29,5,108
665,2657,New_Mexico_St_Univ-_Main,NM,I,524.0,433.0,360.0,434,641.0,531.0,444.0,533,202,167,196,17,582
666,10313,Univ_New_Mexico-Albuquerque,NM,I,579.0,431.0,379.0,466,693.0,521.0,459.0,561,314,268,195,0,837
667,2568,University_of_Nevada_-_Reno,NV,I,647.0,480.0,390.0,508,741.0,558.0,458.0,589,145,133,95,5,403
668,2569,Univ_of_Nevada-Las_Vegas,NV,IIA,596.0,476.0,392.0,452,699.0,564.0,468.0,537,152,192,214,0,642
669,2667,Dowling_College,NY,IIB,661.0,596.0,484.0,563,891.0,822.0,679.0,776,25,29,36,3,93
670,2668,Alfred_University,NY,IIA,520.0,427.0,367.0,439,641.0,538.0,467.0,548,46,25,36,6,113
671,2671,Bard_College,NY,IIB,657.0,460.0,365.0,521,860.0,605.0,481.0,683,40,15,29,0,84
672,2681,Canisius_College,NY,IIA,542.0,480.0,370.0,468,679.0,599.0,450.0,582,57,73,51,0,181
673,2685,Cazenovia_College,NY,IIB,443.0,354.0,295.0,337,549.0,445.0,374.0,423,8,13,21,3,45
674,2699,Clarkson_University,NY,I,703.0,515.0,475.0,563,875.0,658.0,593.0,707,55,58,43,5,161
675,2701,Colgate_University,NY,IIB,669.0,505.0,406.0,539,848.0,637.0,497.0,677,78,61,56,3,198
676,2703,College_of_Mount_St_Vincent,NY,IIB,,388.0,336.0,366,,476.0,410.0,450,5,24,20,7,56
677,2704,College_of_New_Rochelle,NY,IIA,539.0,449.0,391.0,447,693.0,579.0,499.0,574,11,38,17,1,67
678,2705,College_of_Saint_Rose,NY,IIA,456.0,408.0,329.0,374,534.0,503.0,403.0,455,19,50,46,14,129
679,2707,Columbia_University,NY,I,882.0,554.0,452.0,687,1136.0,767.0,646.0,915,477,185,199,11,923
680,2708,Barnard_College,NY,IIB,733.0,516.0,395.0,508,943.0,652.0,509.0,654,49,19,56,6,154
681,2709,Concordia_College,NY,IIB,352.0,289.0,275.0,303,436.0,366.0,363.0,387,11,6,14,1,32
682,2710,Cooper_Union_for_AdvSci_and_Art,NY,IIB,684.0,514.0,433.0,607,872.0,673.0,600.0,784,35,18,6,0,59
683,2711,Cornell_Univ-Endowed_Colls,NY,I,787.0,562.0,482.0,627,1047.0,748.0,640.0,834,447,189,148,3,914
684,2711,Cornell_Univ-Statutory_Clls,NY,I,651.0,511.0,431.0,549,847.0,691.0,598.0,732,318,231,105,41,707
685,2712,DYouville_College,NY,IIB,404.0,385.0,327.0,359,485.0,456.0,390.0,427,15,22,32,7,76
686,2713,Dominican_College,NY,IIB,,400.0,354.0,365,,508.0,438.0,454,4,10,19,9,42
687,2718,Elmira_College,NY,IIB,497.0,342.0,306.0,359,666.0,449.0,395.0,472,13,24,26,0,63
688,2722,Fordham_University,NY,I,744.0,573.0,444.0,590,945.0,729.0,557.0,748,166,183,140,9,498
689,2728,Hamilton_College,NY,IIB,631.0,478.0,377.0,478,801.0,608.0,475.0,604,46,37,54,12,149
