d3mIndex,User_country,Nr._reviews,Nr._hotel_reviews,Helpful_votes,Score_target,Period_of_stay,Traveler_type,Pool,Gym,Tennis_court,Spa,Casino,Free_internet,Hotel_name,Hotel_stars,Nr._rooms,User_continent,Member_years,Review_month,Review_weekday
314,USA,84.0,18.0,36.0,5.0,Dec-Feb,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
315,USA,21.0,13.0,20.0,5.0,Dec-Feb,Business,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
316,UK,95.0,37.0,55.0,4.0,Mar-May,Friends,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
317,Germany,118.0,107.0,131.0,5.0,Mar-May,Business,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
318,Canada,6.0,0.0,8.0,5.0,Mar-May,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
319,USA,60.0,4.0,31.0,4.0,Mar-May,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
320,Australia,275.0,79.0,339.0,4.0,Mar-May,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
321,Canada,46.0,39.0,42.0,4.0,Mar-May,Business,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
322,USA,6.0,5.0,6.0,5.0,Jun-Aug,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
323,Australia,11.0,0.0,5.0,5.0,Jun-Aug,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
324,USA,75.0,37.0,48.0,5.0,Jun-Aug,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
325,Denmark,240.0,76.0,115.0,5.0,Jun-Aug,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
326,Taiwan,20.0,12.0,7.0,5.0,Jun-Aug,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
327,Israel,62.0,40.0,25.0,5.0,Jun-Aug,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
328,Hawaii,88.0,19.0,58.0,5.0,Sep-Nov,Friends,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
329,USA,6.0,3.0,5.0,5.0,Sep-Nov,Friends,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
330,Thailand,18.0,9.0,8.0,3.0,Sep-Nov,Business,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
331,Mexico,159.0,43.0,78.0,5.0,Sep-Nov,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
332,Kuwait,47.0,23.0,20.0,4.0,Sep-Nov,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
333,Norway,86.0,12.0,46.0,4.0,Sep-Nov,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
334,USA,42.0,9.0,13.0,5.0,Dec-Feb,Couples,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
335,Germany,64.0,33.0,23.0,4.0,Dec-Feb,Families,YES,YES,NO,NO,YES,YES,Marriott's Grand Chateau,3.0,,,,,
336,USA,167.0,71.0,119.0,5.0,Dec-Feb,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,8.0,January,Saturday
337,USA,25.0,5.0,12.0,5.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,8.0,January,Thursday
338,UK,12.0,12.0,6.0,3.0,Dec-Feb,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,Europe,4.0,February,Friday
339,USA,608.0,117.0,319.0,5.0,Dec-Feb,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,5.0,February,Saturday
340,USA,5.0,4.0,3.0,5.0,Mar-May,Friends,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,8.0,March,Sunday
341,USA,26.0,17.0,34.0,5.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,7.0,March,Thursday
342,Brazil,11.0,5.0,9.0,5.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,South America,7.0,April,Monday
343,USA,39.0,10.0,13.0,4.0,Mar-May,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,3.0,April,Wednesday
344,India,1.0,0.0,3.0,2.0,Mar-May,Families,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,Asia,0.0,May,Thursday
345,USA,108.0,20.0,22.0,3.0,Mar-May,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,5.0,May,Thursday
346,Malaysia,119.0,20.0,46.0,5.0,Jun-Aug,Friends,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,Asia,1.0,June,Sunday
347,USA,27.0,15.0,17.0,3.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,6.0,June,Tuesday
348,Germany,55.0,55.0,134.0,5.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,Europe,5.0,July,Wednesday
349,Canada,7.0,3.0,7.0,4.0,Jun-Aug,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,3.0,July,Friday
350,Canada,3.0,3.0,2.0,3.0,Jun-Aug,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,0.0,August,Wednesday
351,USA,11.0,3.0,19.0,4.0,Jun-Aug,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,6.0,August,Monday
352,Australia,27.0,15.0,16.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,Oceania,5.0,September,Sunday
353,USA,13.0,4.0,6.0,5.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,0.0,September,Wednesday
354,UK,19.0,11.0,14.0,3.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,Europe,5.0,October,Sunday
355,Canada,38.0,12.0,17.0,5.0,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,7.0,October,Friday
356,USA,167.0,71.0,119.0,4.0,Sep-Nov,Couples,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,8.0,November,Sunday
357,USA,28.0,6.0,9.0,3.0,Sep-Nov,Business,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,3.0,November,Tuesday
358,Canada,9.0,8.0,5.0,5.0,Dec-Feb,Families,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,4.0,December,Sunday
359,USA,13.0,4.0,4.0,5.0,Dec-Feb,Friends,YES,YES,YES,YES,YES,YES,Tuscany Las Vegas Suites & Casino,3.0,716.0,North America,5.0,December,Tuesday
360,USA,65.0,24.0,72.0,3.0,Dec-Feb,Business,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,6.0,January,Monday
361,USA,8.0,3.0,3.0,5.0,Dec-Feb,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,3.0,January,Thursday
362,UK,61.0,13.0,26.0,2.0,Dec-Feb,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,Europe,4.0,February,Sunday
363,USA,3.0,3.0,8.0,2.0,Dec-Feb,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,1.0,February,Saturday
364,USA,66.0,13.0,21.0,5.0,Mar-May,Friends,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,9.0,March,Friday
365,Hawaii,9.0,7.0,4.0,5.0,Mar-May,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,2.0,March,Tuesday
366,Hawaii,82.0,14.0,61.0,3.0,Mar-May,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,1.0,April,Wednesday
367,Canada,113.0,48.0,33.0,3.0,Mar-May,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,4.0,April,Sunday
368,USA,11.0,8.0,12.0,3.0,Mar-May,Friends,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,6.0,May,Sunday
369,Canada,2.0,1.0,1.0,3.0,Mar-May,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,3.0,May,Tuesday
370,USA,31.0,11.0,24.0,5.0,Jun-Aug,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,2.0,June,Wednesday
371,Australia,32.0,12.0,22.0,4.0,Jun-Aug,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,Oceania,5.0,June,Wednesday
372,USA,56.0,7.0,25.0,3.0,Jun-Aug,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,7.0,July,Sunday
373,Canada,45.0,6.0,22.0,5.0,Jun-Aug,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,3.0,July,Thursday
374,USA,17.0,4.0,4.0,4.0,Jun-Aug,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,0.0,August,Sunday
375,USA,23.0,23.0,11.0,5.0,Jun-Aug,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,1.0,August,Sunday
376,Canada,56.0,18.0,24.0,5.0,Sep-Nov,Friends,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,4.0,September,Saturday
377,USA,290.0,263.0,300.0,4.0,Sep-Nov,Business,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,10.0,September,Saturday
378,Australia,26.0,7.0,9.0,4.0,Sep-Nov,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,Oceania,0.0,October,Friday
379,India,116.0,44.0,53.0,4.0,Sep-Nov,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,Asia,5.0,October,Saturday
380,Czech Republic,14.0,5.0,15.0,4.0,Sep-Nov,Business,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,Europe,5.0,November,Thursday
381,USA,13.0,7.0,1.0,5.0,Sep-Nov,Business,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,4.0,November,Sunday
382,USA,20.0,9.0,25.0,4.0,Dec-Feb,Couples,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,8.0,December,Tuesday
383,Mexico,3.0,3.0,3.0,5.0,Dec-Feb,Families,YES,YES,NO,NO,NO,YES,Hilton Grand Vacations at the Flamingo,3.0,315.0,North America,2.0,December,Wednesday
384,USA,17.0,3.0,12.0,4.0,Dec-Feb,Friends,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
385,Australia,21.0,11.0,13.0,5.0,Dec-Feb,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
386,USA,60.0,11.0,33.0,5.0,Dec-Feb,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
387,Canada,12.0,4.0,15.0,5.0,Dec-Feb,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
388,USA,27.0,12.0,51.0,5.0,Mar-May,Friends,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
389,USA,34.0,12.0,35.0,4.0,Mar-May,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
390,Canada,69.0,22.0,38.0,5.0,Mar-May,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
391,USA,16.0,4.0,7.0,5.0,Mar-May,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
392,Australia,26.0,5.0,5.0,4.0,Mar-May,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
393,USA,54.0,10.0,15.0,4.0,Mar-May,Business,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
394,UK,35.0,17.0,27.0,5.0,Jun-Aug,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
395,India,23.0,12.0,7.0,5.0,Jun-Aug,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
396,UK,6.0,3.0,14.0,5.0,Jun-Aug,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
397,USA,27.0,8.0,16.0,4.0,Jun-Aug,Friends,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
398,USA,41.0,8.0,14.0,3.0,Jun-Aug,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
399,Canada,12.0,4.0,6.0,5.0,Jun-Aug,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
400,USA,14.0,3.0,14.0,5.0,Sep-Nov,Friends,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
401,USA,415.0,162.0,265.0,4.0,Sep-Nov,Business,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
402,Ireland,76.0,27.0,32.0,3.0,Sep-Nov,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
403,UK,24.0,12.0,30.0,4.0,Sep-Nov,Couples,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
404,Japan,23.0,9.0,23.0,3.0,Sep-Nov,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
405,USA,182.0,24.0,47.0,4.0,Sep-Nov,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
406,USA,289.0,28.0,133.0,4.0,Dec-Feb,Families,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
407,Canada,101.0,35.0,46.0,5.0,Dec-Feb,Friends,YES,YES,YES,NO,NO,YES,Wyndham Grand Desert,3.0,,,,,
408,Ireland,31.0,11.0,20.0,4.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,2.0,January,Friday
409,USA,20.0,6.0,9.0,5.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,0.0,January,Wednesday
410,USA,60.0,16.0,15.0,4.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,5.0,February,Saturday
411,Mexico,1.0,0.0,2.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,0.0,February,Sunday
412,USA,9.0,3.0,13.0,3.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,2.0,March,Thursday
413,USA,19.0,7.0,5.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,5.0,March,Wednesday
414,Israel,116.0,78.0,206.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Asia,9.0,April,Sunday
415,Australia,22.0,13.0,26.0,4.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Oceania,2.0,April,Friday
416,Australia,83.0,10.0,26.0,4.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Oceania,1.0,May,Tuesday
417,UK,20.0,3.0,9.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,0.0,May,Monday
418,USA,7.0,5.0,6.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,1.0,June,Monday
419,USA,95.0,34.0,46.0,5.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,6.0,June,Sunday
420,Australia,15.0,6.0,19.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Oceania,4.0,July,Wednesday
421,UK,13.0,7.0,12.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,5.0,July,Sunday
422,Canada,19.0,8.0,24.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,10.0,August,Wednesday
423,UK,21.0,6.0,15.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,3.0,August,Saturday
424,UK,56.0,11.0,14.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,5.0,September,Friday
425,UK,29.0,7.0,15.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,7.0,September,Thursday
426,Brazil,20.0,0.0,8.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,South America,2.0,October,Friday
427,UK,39.0,20.0,31.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,8.0,October,Thursday
428,Switzerland,9.0,6.0,3.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Europe,5.0,November,Saturday
429,Australia,43.0,38.0,29.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Oceania,4.0,November,Saturday
430,Singapore,16.0,10.0,11.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,Asia,9.0,December,Thursday
431,USA,6.0,6.0,12.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,The Venetian Las Vegas Hotel,5.0,4027.0,North America,10.0,December,Wednesday
432,Australia,16.0,6.0,3.0,4.0,Dec-Feb,Solo,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Oceania,3.0,January,Saturday
433,USA,15.0,3.0,13.0,5.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,5.0,January,Thursday
434,USA,30.0,6.0,26.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,3.0,February,Tuesday
435,USA,41.0,9.0,111.0,5.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,1.0,February,Friday
436,India,44.0,35.0,53.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Asia,6.0,March,Tuesday
437,USA,30.0,9.0,17.0,2.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,0.0,March,Tuesday
438,Ireland,23.0,10.0,18.0,5.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,4.0,April,Monday
439,Spain,3.0,0.0,8.0,2.0,Mar-May,Families,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,3.0,April,Tuesday
440,UK,12.0,6.0,16.0,3.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,3.0,May,Friday
441,UK,15.0,6.0,17.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,1.0,May,Thursday
442,UK,5.0,0.0,5.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,0.0,June,Wednesday
443,USA,32.0,5.0,11.0,4.0,Jun-Aug,Business,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,6.0,June,Sunday
444,USA,28.0,5.0,23.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,5.0,July,Friday
445,Korea,77.0,18.0,48.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Asia,10.0,July,Saturday
446,USA,11.0,8.0,2.0,4.0,Jun-Aug,Solo,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,0.0,August,Monday
447,Scotland,102.0,25.0,37.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,6.0,August,Sunday
448,Ireland,13.0,3.0,2.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,6.0,September,Tuesday
449,USA,62.0,13.0,31.0,4.0,Sep-Nov,Business,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,2.0,September,Tuesday
450,UK,26.0,22.0,42.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,5.0,October,Sunday
451,UK,13.0,6.0,12.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,1.0,October,Saturday
452,UK,26.0,18.0,43.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Europe,4.0,November,Monday
453,Canada,17.0,10.0,39.0,5.0,Sep-Nov,Friends,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,North America,3.0,November,Saturday
454,India,4.0,4.0,1.0,4.0,Dec-Feb,Business,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Asia,1.0,December,Monday
455,Malaysia,20.0,18.0,19.0,2.0,Dec-Feb,Families,YES,YES,NO,YES,YES,YES,Bellagio Las Vegas,5.0,3933.0,Asia,4.0,December,Friday
456,USA,14.0,3.0,7.0,4.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,7.0,January,Saturday
457,Canada,19.0,3.0,12.0,5.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,1.0,January,Wednesday
458,USA,4.0,4.0,2.0,2.0,Dec-Feb,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,1.0,February,Wednesday
459,USA,116.0,12.0,43.0,4.0,Dec-Feb,Friends,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,4.0,February,Tuesday
460,USA,121.0,13.0,59.0,2.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,9.0,March,Tuesday
461,USA,14.0,7.0,6.0,5.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,2.0,March,Friday
462,USA,56.0,16.0,54.0,4.0,Mar-May,Business,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,9.0,April,Tuesday
463,Canada,73.0,4.0,39.0,3.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,3.0,April,Monday
464,USA,9.0,5.0,4.0,5.0,Mar-May,Friends,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,6.0,May,Thursday
465,USA,137.0,42.0,51.0,3.0,Mar-May,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,5.0,May,Sunday
466,Australia,30.0,12.0,38.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,Oceania,4.0,June,Saturday
467,Costa Rica,130.0,19.0,49.0,3.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,6.0,June,Sunday
468,USA,50.0,15.0,23.0,4.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,3.0,July,Friday
469,UK,22.0,9.0,11.0,4.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,Europe,3.0,July,Wednesday
470,Egypt,85.0,37.0,65.0,5.0,Jun-Aug,Families,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,Africa,4.0,August,Friday
471,USA,73.0,7.0,26.0,5.0,Jun-Aug,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,3.0,August,Thursday
472,USA,20.0,10.0,27.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,2.0,September,Thursday
473,Canada,13.0,6.0,13.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,2.0,September,Tuesday
474,Canada,18.0,3.0,10.0,2.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,2.0,October,Monday
475,USA,6.0,4.0,6.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,0.0,October,Saturday
476,USA,48.0,8.0,25.0,4.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,6.0,November,Monday
477,USA,24.0,3.0,5.0,5.0,Sep-Nov,Couples,YES,YES,NO,YES,YES,YES,Paris Las Vegas,4.0,2916.0,North America,0.0,November,Sunday
