d3mIndex,Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9,class
1151,0,0,1,0,1,0,1,1,1,1,1
1152,0,1,0,1,0,1,1,1,1,0,1
1153,1,1,0,0,1,0,1,1,1,0,1
1154,1,0,0,1,1,1,1,1,1,0,1
1155,1,0,0,1,0,0,1,1,0,1,1
1156,1,1,1,1,1,1,0,1,1,0,1
1157,1,1,0,1,1,0,0,0,0,0,0
1158,0,0,1,1,1,0,0,0,0,0,1
1159,1,0,0,1,0,0,1,1,1,0,1
1160,0,1,0,1,1,0,0,0,1,0,1
1161,0,0,0,1,1,0,1,0,0,0,1
1162,0,0,0,0,1,1,1,1,1,0,1
1163,1,0,1,1,0,0,1,1,1,1,1
1164,0,1,0,1,1,1,1,0,1,0,1
1165,0,1,1,0,1,1,0,0,1,0,1
1166,0,1,1,1,1,1,1,0,1,0,1
1167,0,0,1,1,1,1,0,0,1,1,1
1168,0,1,0,0,1,1,0,1,1,1,1
1169,0,0,0,1,0,1,1,1,0,0,1
1170,1,1,1,0,1,0,0,0,1,1,1
1171,0,1,1,1,0,1,0,0,1,0,1
1172,1,1,1,0,1,0,0,1,1,0,1
1173,1,1,0,0,0,1,0,1,0,0,0
1174,1,1,1,1,0,1,0,1,1,1,1
1175,1,1,1,1,0,1,0,0,1,0,1
1176,0,1,0,0,0,0,1,1,1,0,1
1177,1,0,1,1,0,0,1,0,1,0,1
1178,0,0,1,0,1,0,1,1,0,1,1
1179,1,1,1,1,1,1,1,0,0,0,1
1180,1,1,0,1,1,1,0,1,0,1,1
1181,1,1,0,1,0,1,0,1,1,1,1
1182,1,0,0,1,1,1,1,1,0,1,1
1183,0,1,1,1,1,1,1,0,0,1,1
1184,1,0,0,0,0,1,0,0,1,1,0
1185,1,0,0,1,0,1,0,0,0,0,0
1186,1,1,1,1,1,1,0,0,0,1,1
1187,1,0,1,0,0,0,1,1,1,1,1
1188,0,1,1,1,0,1,1,1,1,0,1
1189,0,0,0,1,1,0,0,0,0,0,0
1190,0,1,0,0,1,0,1,1,0,1,1
1191,0,1,1,0,0,0,1,1,1,0,1
1192,0,0,0,1,0,0,0,1,1,0,1
1193,1,1,0,0,1,0,0,1,0,1,0
1194,0,0,1,1,1,0,0,0,1,1,1
1195,1,1,1,0,0,0,0,1,0,0,0
1196,1,1,0,1,1,0,0,1,1,1,1
1197,1,0,0,1,0,1,0,1,0,1,1
1198,1,0,1,1,1,1,0,0,1,0,1
1199,1,0,1,1,0,0,1,0,0,1,1
1200,0,0,0,1,1,0,1,1,1,1,1
1201,1,1,0,1,0,0,1,1,1,0,1
1202,1,0,1,1,0,0,0,0,1,0,1
1203,0,1,0,1,1,1,0,0,0,0,1
1204,0,1,0,0,0,0,1,1,0,0,0
1205,1,1,0,0,1,0,0,1,1,0,1
1206,0,0,0,1,0,1,1,0,0,0,1
1207,1,1,1,1,0,0,0,1,1,1,1
1208,1,0,1,0,0,1,0,0,1,1,1
1209,1,1,1,0,1,0,0,1,1,1,1
1210,1,1,1,1,0,0,0,1,0,0,1
1211,0,1,1,0,0,0,0,1,1,1,1
1212,1,0,1,1,0,1,1,1,0,0,1
1213,0,1,0,1,0,0,1,0,0,0,0
1214,0,1,1,0,0,1,1,0,1,1,1
1215,1,1,0,0,1,1,0,0,0,1,0
1216,0,0,1,1,1,1,1,0,0,0,1
1217,0,0,1,1,0,1,1,0,1,0,1
1218,0,1,1,0,0,0,1,0,0,0,0
1219,0,0,0,1,0,0,0,1,0,0,0
1220,1,1,0,0,1,1,1,1,0,0,1
1221,0,0,0,0,1,1,0,0,0,0,0
1222,1,1,1,1,0,0,1,1,1,1,1
1223,0,0,1,1,0,0,1,1,0,1,1
1224,0,1,1,0,1,0,1,1,1,0,1
1225,0,1,1,1,1,0,0,0,0,1,1
1226,0,0,0,0,1,1,1,0,1,0,1
1227,0,1,0,1,0,1,0,0,1,0,1
1228,1,0,1,0,1,0,1,1,0,0,1
1229,1,1,0,1,1,0,1,0,0,0,1
1230,0,0,1,0,1,0,0,1,0,0,1
1231,1,0,1,0,1,0,0,0,0,0,0
1232,0,1,1,1,0,1,1,0,1,0,1
1233,0,1,0,1,1,0,0,1,0,0,1
1234,1,0,1,1,0,0,0,1,1,0,1
1235,1,0,0,0,1,0,0,1,0,1,0
1236,1,1,1,1,1,0,0,0,1,1,1
1237,1,0,1,1,0,1,0,0,1,0,1
1238,0,1,0,0,1,1,1,0,0,1,1
1239,1,0,1,1,1,1,1,0,1,0,1
1240,0,1,1,1,0,0,0,0,0,1,0
1241,0,0,0,0,1,0,1,1,1,1,1
1242,1,0,1,1,1,1,0,1,0,1,1
1243,0,0,0,0,0,1,1,0,1,0,1
1244,1,0,1,0,0,0,0,0,1,1,0
1245,1,1,0,0,0,0,1,0,0,1,0
1246,1,0,1,0,1,0,1,0,0,0,1
1247,1,1,0,1,0,0,1,1,0,0,1
1248,0,0,1,0,0,0,0,0,0,0,0
1249,1,1,0,1,0,0,1,1,0,1,1
1250,1,0,1,1,1,0,1,0,0,1,1
1251,0,1,1,1,0,0,0,1,0,1,1
1252,0,0,1,1,1,1,1,1,0,0,1
1253,0,1,0,0,1,1,0,1,0,0,1
1254,1,0,1,0,0,0,0,0,1,0,0
1255,0,0,1,0,0,1,0,0,1,0,1
1256,1,0,0,0,0,0,1,0,0,0,0
1257,1,1,1,1,1,0,0,1,1,0,1
1258,1,0,0,0,1,0,0,1,0,0,0
1259,1,1,0,0,0,0,0,1,1,0,0
1260,0,0,1,1,0,1,0,1,0,1,1
1261,0,1,0,1,1,0,0,1,1,0,1
1262,1,1,1,1,0,0,0,0,1,1,1
1263,0,0,0,1,1,1,1,0,0,0,1
1264,0,0,1,0,1,0,0,0,1,0,1
1265,1,0,0,1,0,1,0,0,1,0,1
1266,0,1,1,0,0,1,1,1,1,0,1
1267,1,1,1,0,1,1,0,1,1,0,1
1268,0,1,1,1,0,0,0,1,1,0,1
1269,0,0,1,0,1,1,1,1,0,0,1
1270,0,1,1,1,1,1,1,1,1,0,1
1271,0,1,0,1,0,0,1,0,0,1,0
1272,1,1,0,0,0,0,1,0,1,1,0
1273,1,1,1,0,0,1,1,0,0,1,1
1274,1,1,0,1,0,1,1,0,1,0,1
1275,0,1,0,0,0,1,1,1,0,0,1
1276,1,0,1,0,0,1,1,0,1,1,1
1277,0,1,0,0,1,1,1,0,1,1,1
1278,0,1,0,0,0,1,0,1,1,1,1
1279,1,0,1,1,0,0,1,1,0,0,1
1280,0,0,1,1,1,1,0,0,1,0,1
1281,0,0,1,0,0,1,1,1,1,0,1
1282,1,1,0,1,0,0,0,1,1,0,1
1283,1,0,1,1,0,0,1,1,0,1,1
1284,0,0,0,1,0,1,1,0,1,1,1
1285,0,1,0,0,1,1,1,1,1,0,1
1286,0,0,1,0,1,0,0,1,1,1,1
1287,1,0,1,1,0,1,0,0,0,0,1
1288,1,0,0,0,1,1,1,0,1,1,1
1289,1,1,0,0,0,1,0,1,1,0,1
1290,1,0,1,0,1,1,1,0,0,1,1
1291,1,1,1,0,1,0,1,0,1,0,1
1292,0,1,0,0,0,1,0,1,1,0,1
1293,1,1,0,1,0,0,0,0,1,0,0
1294,0,0,0,0,0,1,1,0,0,1,0
1295,0,0,0,0,0,0,1,0,0,1,0
1296,1,0,0,0,1,1,1,1,1,0,1
1297,1,0,1,1,0,1,0,1,1,1,1
1298,0,0,0,1,0,1,0,1,1,1,1
1299,0,1,1,1,0,1,0,1,1,0,1
1300,1,1,1,1,0,1,0,0,1,1,1
1301,1,1,1,0,0,1,1,0,0,0,1
1302,1,0,1,1,1,1,0,0,0,1,1
1303,0,0,1,1,1,0,1,0,0,1,1
1304,1,0,1,0,0,1,0,1,1,0,1
1305,1,1,0,1,1,0,0,1,0,0,1
1306,1,1,1,0,1,0,0,0,0,0,0
1307,1,1,1,1,1,1,1,1,1,0,1
1308,0,1,1,0,0,0,0,0,0,1,0
1309,0,1,1,1,0,1,1,0,0,0,1
1310,0,0,1,0,1,0,0,0,0,0,0
1311,0,0,1,0,1,1,0,0,1,1,1
1312,1,0,0,1,0,1,1,1,0,1,1
1313,1,0,0,0,1,0,0,0,1,1,0
1314,0,1,1,1,1,0,0,0,1,0,1
1315,1,1,0,0,1,1,1,0,1,1,1
1316,0,0,1,0,1,1,1,0,0,0,1
1317,1,0,1,1,1,1,1,1,1,1,1
1318,0,0,1,0,1,1,1,0,0,1,1
1319,1,1,1,1,1,0,1,1,0,0,1
1320,0,0,0,1,0,0,1,1,1,0,1
1321,0,0,0,1,1,1,0,0,0,1,1
1322,0,1,0,0,1,0,0,1,0,1,0
1323,1,0,1,0,1,0,1,1,1,1,1
