d3mIndex,Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,class
298,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
299,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
300,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
301,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
302,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
303,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
304,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
305,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
306,23.0,31.0,2,5,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,6.0,2,20.0,1,1,1,1,8,8,14.0,1,5
307,23.0,31.0,3,5,8.0,1,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,43.0,21.0,3,13.0,2,18.0,0,0,2,2,8,8,14.0,2,2
308,23.0,31.0,2,6,11.0,1,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,50.0,88.0,2,10.0,2,20.0,1,0,1,1,8,8,14.0,1,2
309,23.0,31.0,0,6,7.0,1,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,18.0,20.0,3,13.0,2,18.0,1,0,0,0,2,4,1.0,0,2
310,23.0,31.0,2,1,11.0,2,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,17.0,88.0,2,4.0,2,4.0,1,0,1,1,8,8,14.0,1,5
311,23.0,31.0,2,2,11.0,4,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,3.0,1,1,1,1,8,8,14.0,1,1
312,23.0,31.0,2,2,11.0,4,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,3.0,1,1,1,1,8,8,14.0,1,1
313,23.0,31.0,2,2,11.0,4,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,3.0,1,1,1,1,8,8,14.0,1,1
314,23.0,31.0,2,2,11.0,4,15.0,17.0,5,0,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,3.0,1,0,1,1,8,8,14.0,1,1
315,23.0,31.0,5,1,1.0,2,15.0,17.0,2,0,5,5,45.0,69.0,5,6,5,6,16.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,3
316,23.0,31.0,5,1,1.0,2,15.0,17.0,2,0,5,5,45.0,69.0,5,6,5,6,16.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,3
317,23.0,31.0,0,1,7.0,2,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,47.0,30.0,3,13.0,2,18.0,1,0,0,0,4,6,13.0,0,4
318,23.0,31.0,0,2,7.0,4,12.0,14.0,0,0,2,4,21.0,53.0,5,4,5,4,47.0,84.0,3,13.0,2,18.0,0,0,0,0,5,7,13.0,0,4
319,23.0,31.0,0,2,7.0,4,15.0,17.0,0,0,5,5,45.0,69.0,5,6,5,6,47.0,19.0,3,13.0,2,18.0,0,0,2,0,8,8,14.0,2,4
320,23.0,31.0,0,2,7.0,4,5.0,1.0,0,0,0,4,3.0,5.0,5,4,5,1,15.0,18.0,3,13.0,2,18.0,0,0,0,0,2,7,14.0,0,3
321,23.0,31.0,3,6,9.0,3,15.0,1.0,0,1,5,4,45.0,21.0,5,4,5,2,47.0,18.0,3,13.0,2,18.0,0,0,0,0,2,7,14.0,0,1
322,23.0,31.0,3,0,9.0,5,15.0,1.0,0,1,5,1,45.0,0.0,5,4,5,3,47.0,17.0,3,13.0,2,18.0,0,0,0,0,2,6,14.0,0,4
323,23.0,31.0,3,0,9.0,5,4.0,14.0,0,1,2,3,42.0,39.0,5,5,5,5,47.0,87.0,3,13.0,2,18.0,0,0,0,0,7,7,13.0,0,4
324,23.0,31.0,9,5,3.0,5,13.0,14.0,8,1,2,4,30.0,54.0,5,4,5,5,47.0,84.0,3,13.0,2,18.0,0,0,0,0,5,7,13.0,0,3
325,18.0,15.0,1,5,9.0,2,15.0,16.0,8,3,5,4,45.0,0.0,6,4,4,2,47.0,16.0,3,13.0,2,18.0,0,0,0,0,2,1,14.0,0,2
326,23.0,31.0,1,5,9.0,2,0.0,0.0,8,3,3,1,0.0,0.0,5,3,5,3,14.0,15.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,2
327,23.0,31.0,3,6,3.0,6,15.0,17.0,4,1,5,5,45.0,69.0,5,6,5,6,14.0,14.0,3,13.0,2,18.0,1,0,0,0,2,7,14.0,0,4
328,23.0,31.0,3,6,3.0,6,15.0,17.0,4,1,5,5,45.0,69.0,5,6,5,6,13.0,13.0,3,13.0,2,18.0,0,0,2,0,8,8,14.0,2,2
329,23.0,31.0,8,2,5.0,6,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,31.0,88.0,0,13.0,2,20.0,0,1,1,1,8,8,14.0,1,4
330,23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,3
331,23.0,31.0,7,2,2.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,3
332,19.0,20.0,5,2,3.0,6,11.0,12.0,4,3,2,3,17.0,65.0,4,5,4,2,47.0,54.0,3,13.0,2,18.0,0,0,0,0,4,6,13.0,0,1
333,23.0,31.0,7,2,10.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,3
334,23.0,31.0,7,2,10.0,6,15.0,17.0,6,3,5,5,45.0,69.0,5,6,5,6,27.0,88.0,1,13.0,0,19.0,1,1,1,1,8,8,14.0,1,4
335,23.0,31.0,3,2,3.0,6,15.0,16.0,4,3,5,0,45.0,58.0,5,4,5,1,47.0,12.0,3,13.0,2,18.0,0,0,0,0,6,6,12.0,0,2
336,23.0,31.0,3,7,3.0,0,15.0,17.0,4,3,5,5,45.0,69.0,5,6,5,6,45.0,11.0,3,13.0,2,18.0,1,0,2,2,8,8,14.0,2,5
337,23.0,31.0,2,3,11.0,6,15.0,17.0,5,3,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,7.0,2,2.0,1,0,1,1,8,8,14.0,1,3
338,23.0,31.0,2,3,11.0,6,15.0,17.0,5,3,5,5,45.0,69.0,5,6,5,6,49.0,88.0,2,3.0,2,13.0,1,0,1,1,8,8,14.0,1,4
339,23.0,31.0,2,2,11.0,6,15.0,17.0,5,3,5,5,45.0,69.0,5,6,5,6,33.0,88.0,2,2.0,2,19.0,1,0,1,1,8,8,14.0,1,4
340,9.0,2.0,5,2,7.0,6,10.0,10.0,4,3,3,1,27.0,33.0,3,3,6,3,44.0,79.0,3,13.0,2,20.0,1,1,2,2,8,8,14.0,2,3
341,23.0,31.0,2,5,11.0,5,15.0,17.0,5,4,5,5,45.0,69.0,5,6,5,6,12.0,88.0,2,1.0,2,4.0,1,0,1,1,8,8,14.0,1,5
342,23.0,31.0,5,5,7.0,6,15.0,17.0,4,3,5,5,45.0,69.0,5,6,5,6,47.0,10.0,3,13.0,2,18.0,0,0,2,0,8,8,14.0,2,4
343,12.0,2.0,5,5,7.0,6,9.0,11.0,4,3,3,2,25.0,18.0,6,4,6,3,47.0,80.0,3,13.0,2,18.0,0,0,0,0,7,7,13.0,0,1
344,18.0,31.0,5,5,9.0,5,15.0,17.0,8,2,5,5,45.0,69.0,6,6,1,6,47.0,39.0,3,13.0,2,18.0,1,1,0,0,4,6,13.0,0,3
345,23.0,31.0,8,5,5.0,5,15.0,17.0,2,2,5,5,45.0,69.0,5,6,5,6,11.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,5
346,23.0,31.0,8,5,5.0,5,15.0,17.0,2,2,5,5,45.0,69.0,5,6,5,6,10.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,5
347,0.0,8.0,5,3,9.0,4,2.0,13.0,8,3,3,1,23.0,17.0,4,5,3,3,47.0,81.0,3,13.0,2,18.0,0,0,0,0,3,7,11.0,0,3
348,23.0,31.0,5,3,9.0,4,11.0,13.0,8,3,2,4,12.0,67.0,5,5,5,5,47.0,73.0,3,13.0,2,18.0,0,0,0,0,4,7,14.0,0,3
349,23.0,31.0,2,3,11.0,4,15.0,17.0,5,3,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,10.0,2,1.0,1,1,1,1,8,8,14.0,1,5
350,23.0,31.0,7,7,5.0,4,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,9.0,88.0,0,13.0,2,18.0,0,0,1,1,8,8,14.0,1,1
351,23.0,31.0,5,3,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,9.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,3
352,3.0,16.0,5,7,9.0,4,13.0,14.0,8,3,2,4,14.0,45.0,6,4,4,5,47.0,84.0,3,13.0,2,20.0,0,1,0,0,5,7,13.0,0,1
353,23.0,31.0,2,7,4.0,4,15.0,17.0,1,3,5,5,45.0,69.0,5,6,5,6,8.0,88.0,2,8.0,2,9.0,1,0,1,1,8,8,14.0,1,5
354,23.0,31.0,7,7,5.0,4,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,7.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,2
355,23.0,31.0,5,7,9.0,4,9.0,4.0,8,3,0,0,16.0,14.0,5,3,5,1,47.0,46.0,3,13.0,2,20.0,0,0,0,0,4,3,7.0,0,3
356,23.0,31.0,5,7,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,6.0,8.0,3,13.0,2,20.0,0,0,0,0,6,1,0.0,0,2
357,23.0,31.0,5,7,9.0,4,8.0,16.0,8,3,3,1,0.0,44.0,5,4,5,3,41.0,57.0,3,13.0,2,20.0,0,0,0,0,2,7,14.0,0,2
358,23.0,31.0,5,7,9.0,4,15.0,7.0,8,3,5,1,45.0,3.0,5,4,5,5,5.0,7.0,3,13.0,2,20.0,1,0,0,2,8,8,13.0,0,3
359,23.0,31.0,5,7,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,6.0,3,13.0,2,20.0,0,0,0,0,4,7,14.0,0,1
360,23.0,31.0,9,7,11.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,47.0,5.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,4
361,23.0,31.0,9,7,11.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,4.0,4.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,3
362,23.0,31.0,5,7,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,44.0,3.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,3
363,23.0,31.0,5,7,9.0,4,15.0,17.0,8,3,5,5,45.0,69.0,5,6,5,6,14.0,15.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,5
364,23.0,31.0,2,7,0.0,4,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,3.0,88.0,0,13.0,2,20.0,0,1,1,1,8,8,14.0,1,4
365,21.0,1.0,5,7,9.0,4,13.0,9.0,8,3,1,1,43.0,25.0,4,5,6,4,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
366,21.0,1.0,5,7,9.0,4,13.0,9.0,8,3,1,1,43.0,25.0,4,5,6,4,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
367,21.0,1.0,5,7,9.0,4,13.0,9.0,8,3,1,1,43.0,25.0,4,5,6,4,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
368,21.0,1.0,5,7,9.0,4,13.0,9.0,8,3,1,1,43.0,25.0,4,5,6,4,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
369,23.0,31.0,5,7,9.0,4,15.0,5.0,8,3,5,3,45.0,10.0,5,1,5,5,32.0,49.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,2
370,23.0,31.0,2,7,0.0,4,15.0,17.0,2,3,5,5,45.0,69.0,5,6,5,6,3.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,2
371,23.0,31.0,5,7,9.0,4,13.0,8.0,8,3,4,2,20.0,41.0,5,3,5,2,38.0,59.0,3,13.0,2,20.0,1,0,0,2,8,8,14.0,0,4
372,23.0,31.0,5,7,9.0,4,14.0,13.0,8,3,0,0,1.0,1.0,5,4,5,3,47.0,50.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,5
373,10.0,6.0,5,6,7.0,4,6.0,8.0,4,4,0,4,19.0,19.0,6,4,3,4,47.0,77.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,3
374,23.0,31.0,5,6,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,47.0,2.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,3
375,23.0,31.0,5,6,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,43.0,1.0,3,13.0,2,20.0,1,0,0,2,8,7,14.0,0,1
376,23.0,31.0,5,6,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,47.0,0.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,1
377,1.0,31.0,5,6,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,6,6,1,6,47.0,2.0,3,13.0,2,20.0,0,0,2,0,8,8,14.0,2,3
378,14.0,31.0,6,4,11.0,6,15.0,17.0,4,3,5,5,45.0,69.0,4,6,4,6,47.0,52.0,3,13.0,2,20.0,0,1,2,0,8,8,14.0,2,4
379,23.0,31.0,6,4,11.0,6,15.0,17.0,4,3,5,5,45.0,69.0,5,6,5,6,48.0,28.0,3,13.0,2,20.0,1,0,2,2,8,8,14.0,2,1
380,11.0,28.0,5,6,12.0,7,12.0,9.0,4,4,1,2,44.0,68.0,3,3,1,4,48.0,82.0,3,13.0,2,18.0,0,1,2,0,8,8,14.0,2,1
381,0.0,30.0,5,6,12.0,7,4.0,9.0,4,4,0,1,43.0,22.0,4,4,3,1,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,5
382,0.0,30.0,5,6,12.0,7,4.0,9.0,4,4,0,1,43.0,22.0,4,4,3,1,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
383,23.0,31.0,2,6,8.0,7,15.0,17.0,5,4,5,5,45.0,69.0,5,6,5,6,34.0,88.0,2,9.0,2,0.0,1,0,1,1,8,8,14.0,1,1
384,23.0,31.0,2,6,8.0,7,15.0,17.0,5,4,5,5,45.0,69.0,5,6,5,6,45.0,88.0,2,0.0,2,20.0,1,0,1,1,8,8,14.0,1,2
385,4.0,1.0,5,6,12.0,7,11.0,12.0,4,4,2,3,1.0,4.0,4,5,4,5,47.0,54.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,2
386,4.0,12.0,5,6,12.0,7,11.0,12.0,4,4,4,4,3.0,2.0,4,5,4,2,42.0,68.0,3,13.0,2,20.0,1,1,0,0,2,6,13.0,0,2
387,4.0,1.0,5,6,12.0,7,11.0,12.0,4,4,2,3,1.0,4.0,4,5,4,5,47.0,54.0,3,13.0,2,20.0,0,1,0,0,4,6,13.0,0,2
388,4.0,12.0,3,6,12.0,7,11.0,12.0,4,4,4,4,3.0,2.0,4,5,4,2,42.0,68.0,3,13.0,2,20.0,1,1,0,0,2,6,13.0,0,2
389,10.0,27.0,3,6,12.0,7,4.0,9.0,4,4,0,1,43.0,22.0,4,4,3,1,47.0,71.0,3,13.0,2,20.0,0,1,0,0,4,7,13.0,0,3
390,23.0,31.0,3,6,12.0,7,14.0,10.0,4,4,0,1,39.0,9.0,5,5,5,1,2.0,23.0,3,13.0,2,20.0,1,0,0,2,8,5,14.0,0,4
391,23.0,31.0,3,6,12.0,7,11.0,12.0,4,4,2,3,4.0,28.0,5,5,5,5,47.0,54.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,2
392,23.0,31.0,6,4,7.0,4,1.0,11.0,4,4,0,3,3.0,26.0,5,5,5,1,47.0,54.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,2
393,23.0,31.0,6,4,7.0,4,15.0,17.0,4,4,5,5,45.0,69.0,5,6,5,6,33.0,46.0,3,13.0,2,20.0,0,0,0,0,4,3,7.0,0,1
394,23.0,31.0,6,4,7.0,4,4.0,13.0,4,4,0,0,2.0,2.0,5,5,5,1,47.0,50.0,3,13.0,2,20.0,0,0,0,0,4,6,13.0,0,5
395,23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,1.0,88.0,0,13.0,2,20.0,0,1,1,1,8,8,14.0,1,5
396,23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,36.0,88.0,0,13.0,2,20.0,0,1,1,1,8,8,14.0,1,3
397,23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,0.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,1
398,23.0,31.0,4,4,6.0,4,15.0,17.0,3,4,5,5,45.0,69.0,5,6,5,6,1.0,88.0,0,13.0,2,20.0,0,0,1,1,8,8,14.0,1,3
