d3mIndex,p1_polar,p1_size,p1_flex,p1_h_doner,p1_h_acceptor,p1_pi_doner,p1_pi_acceptor,p1_polarisable,p1_sigma,p1_branch,p2_polar,p2_size,p2_flex,p2_h_doner,p2_h_acceptor,p2_pi_doner,p2_pi_acceptor,p2_polarisable,p2_sigma,p2_branch,p3_polar,p3_size,p3_flex,p3_h_doner,p3_h_acceptor,p3_pi_doner,p3_pi_acceptor,p3_polarisable,p3_sigma,p3_branch,p4_polar,p4_size,p4_flex,p4_h_doner,p4_h_acceptor,p4_pi_doner,p4_pi_acceptor,p4_polarisable,p4_sigma,p4_branch,p5_polar,p5_size,p5_flex,p5_h_doner,p5_h_acceptor,p5_pi_doner,p5_pi_acceptor,p5_polarisable,p5_sigma,p5_branch,p6_polar,p6_size,p6_flex,p6_h_doner,p6_h_acceptor,p6_pi_doner,p6_pi_acceptor,p6_polarisable,p6_sigma,p6_branch,binaryClass
108,0.26,0.233,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
109,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.1,0.5,0.367,0.5,0.1,0.5,0.367,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,P
110,0.42,0.633,0.767,0.1,0.633,0.5,0.1,0.5,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
111,0.42,0.767,0.367,0.1,0.367,0.1,0.1,0.5,0.1,0.9,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
112,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.671,0.1,0.633,0.5,0.1,0.5,0.367,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
113,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.443,0.1,0.367,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
114,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.786,0.1,0.633,0.5,0.1,0.5,0.367,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
115,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.557,0.9,0.9,0.5,0.1,0.5,0.367,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
116,0.26,0.633,0.633,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
117,0.42,0.633,0.233,0.9,0.633,0.5,0.1,0.5,0.367,0.5,0.74,0.367,0.1,0.1,0.9,0.1,0.9,0.9,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
118,0.42,0.5,0.233,0.5,0.367,0.5,0.1,0.5,0.367,0.5,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
119,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.214,0.9,0.633,0.5,0.1,0.5,0.367,0.3,0.3,0.26,0.0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
120,0.26,0.367,0.367,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
121,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.329,0.1,0.367,0.1,0.1,0.5,0.1,0.1,0.7,0.74,0.0,0.0,0.5,0.1,0.5,0.5,0.1,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
122,0.42,0.9,0.233,0.1,0.633,0.5,0.1,0.1,0.367,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
123,0.26,0.367,0.367,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.9,0.9,0.9,0.9,0.1,0.5,0.367,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
124,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.443,0.1,0.367,0.1,0.1,0.5,0.1,0.3,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
125,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.329,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.9,0.42,0.0,0.0,0.1,0.1,0.5,0.9,0.633,0.9,0.7,0.3,0.1,0.1,0.1,0.9,0.1,0.5,0.9,0.1,N
126,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.329,0.1,0.633,0.9,0.1,0.5,0.367,0.5,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
127,0.26,0.633,0.633,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.7,0.2,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
128,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.329,0.5,0.633,0.5,0.1,0.5,0.367,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
129,0.42,0.767,0.5,0.5,0.633,0.1,0.1,0.5,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
130,0.74,0.367,0.1,0.1,0.1,0.1,0.5,0.9,0.633,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
131,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.329,0.5,0.367,0.5,0.1,0.9,0.367,0.3,0.9,0.42,0.0,0.0,0.1,0.1,0.5,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
132,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.329,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
133,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
134,0.26,0.9,0.9,0.1,0.367,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
135,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.214,0.1,0.633,0.5,0.1,0.1,0.367,0.3,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
136,0.9,0.367,0.1,0.1,0.1,0.1,0.9,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
137,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.786,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,P
138,0.26,0.633,0.633,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.9,0.9,0.9,0.9,0.1,0.5,0.367,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
139,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
140,0.42,0.5,0.367,0.5,0.633,0.5,0.1,0.5,0.367,0.5,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
141,0.42,0.5,0.233,0.5,0.367,0.5,0.1,0.5,0.367,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.557,0.1,0.367,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
142,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.7,0.329,0.1,0.367,0.5,0.1,0.5,0.367,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,P
143,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.443,0.5,0.9,0.5,0.1,0.5,0.367,0.3,0.3,0.26,0.0,0.0,0.1,0.1,0.1,0.5,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
144,0.42,0.367,0.1,0.5,0.367,0.9,0.1,0.5,0.367,0.9,0.74,0.633,0.1,0.1,0.1,0.1,0.5,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
145,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.214,0.5,0.367,0.5,0.1,0.5,0.367,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,P
146,0.42,0.633,0.233,0.9,0.633,0.5,0.1,0.5,0.367,0.5,0.42,0.633,0.1,0.1,0.9,0.9,0.1,0.5,0.367,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
147,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.214,0.1,0.633,0.5,0.1,0.1,0.367,0.5,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
148,0.42,0.5,0.5,0.1,0.633,0.5,0.1,0.5,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.7,0.2,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
149,0.42,0.5,0.5,0.1,0.633,0.5,0.1,0.5,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.9,0.9,0.9,0.9,0.1,0.5,0.367,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
150,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.329,0.1,0.367,0.1,0.1,0.5,0.1,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.1,0.1,0.9,0.1,0.9,0.9,0.633,0.9,N
151,0.26,0.633,0.633,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.42,0.9,0.9,0.9,0.9,0.9,0.1,0.5,0.367,0.5,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
152,0.26,0.633,0.633,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
153,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.443,0.1,0.633,0.5,0.1,0.5,0.367,0.1,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
154,0.26,0.633,0.633,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.74,0.633,0.1,0.1,0.1,0.1,0.5,0.9,0.633,0.9,0.7,0.367,0.1,0.1,0.1,0.9,0.1,0.5,0.9,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
155,0.26,0.367,0.367,0.1,0.1,0.1,0.1,0.5,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.633,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
156,0.26,0.5,0.5,0.1,0.367,0.1,0.1,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
157,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.8,0.214,0.5,0.633,0.5,0.1,0.5,0.367,0.9,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,P
158,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.443,0.5,0.367,0.5,0.1,0.5,0.367,0.3,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.5,0.1,0.1,0.1,0.1,0.9,0.9,0.633,0.633,N
159,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.329,0.1,0.367,0.9,0.1,0.5,0.367,0.5,0.3,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
160,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.329,0.1,0.367,0.1,0.1,0.5,0.1,0.1,0.7,0.9,0.0,0.0,0.9,0.1,0.5,0.5,0.1,0.9,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
161,0.58,0.233,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.2,0.1,0.1,0.1,0.5,0.1,0.5,0.9,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,N
162,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.3,0.214,0.1,0.367,0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,P
